n,d,MSB,Approx(0.1),Results(0.1),u,time(s),time(us),,,,
900,750,80.5575,103.577,1.285752413,1,0.986758,986758,,1.671478137,,
900,800,83.1548,100.028,1.202913121,1,1.04851,1.05E+06,,1.563787057,,
900,850,85.7725,106.868,1.245947128,1,1.13371,1.13E+06,,1.619731266,,
900,900,87.9907,110.832,1.259587661,1,1.16155,1.16E+06,,1.637463959,,
900,950,90.3772,111.557,1.234348929,1,1.2244,1.22E+06,,1.604653607,,
900,1000,92.7953,113.54,1.223553348,1,1.30915,1.31E+06,,1.590619352,,
950,50,22.9136,29.484,1.286746736,3,0.0959219,95921.9,,1.672770756,,
950,100,31.1668,36.5175,1.171679479,2,0.1606,160600,,1.523183323,,
950,150,37.6492,45.6125,1.211513126,2,0.232451,232451,,1.574967064,,
950,200,42.9995,48.6215,1.130745706,1,0.280029,280029,,1.469969418,,
950,250,47.721,64.2352,1.346057291,2,0.384669,384669,,1.749874479,,
950,300,51.9844,59.4537,1.14368349,1,0.415101,415101,,1.486788537,,
950,350,55.8939,66.5945,1.191444862,1,0.475376,475376,,1.548878321,,
950,400,59.7128,75.4789,1.264032167,1,0.540481,540481,,1.643241817,,
950,450,63.0985,74.7075,1.183982187,1,0.610901,610901,,1.539176843,,
950,500,66.3611,79.0185,1.190735235,1,0.675984,675984,,1.547955805,,
950,550,69.502,86.4415,1.243726799,1,0.746629,746629,,1.616844839,,
950,600,72.3688,87.0904,1.20342468,1,0.838471,838471,,1.564452084,,
950,650,75.2498,90.6726,1.204954698,1,0.877317,877317,,1.566441107,,
950,700,77.986,99.4752,1.275552022,1,0.964011,964011,,1.658217629,,
950,750,80.6077,103.577,1.284951686,1,1.0108,1.01E+06,,1.670437191,,
950,800,83.2029,100.028,1.202217711,1,1.10964,1.11E+06,,1.562883025,,
950,850,85.7894,106.868,1.245701683,1,1.1482,1.15E+06,,1.619412188,,
950,900,88.0251,110.832,1.259095417,1,1.21803,1.22E+06,,1.636824042,,
950,950,90.4285,111.557,1.233648684,1,1.32855,1.33E+06,,1.603743289,,
950,1000,92.8163,113.54,1.223276515,1,1.3847,1.38E+06,,1.59025947,,
1000,50,22.9136,31.8739,1.391047238,3,0.103177,103177,,1.80836141,,
1000,100,31.2,36.5175,1.170432692,3,0.191669,191669,,1.5215625,,
1000,150,37.6957,45.7278,1.213077354,2,0.24141,241410,,1.57700056,,
1000,200,42.9996,48.6215,1.130743077,1,0.291314,291314,,1.469966,,
1000,250,47.785,64.2352,1.344254473,2,0.400096,400096,,1.747530815,,
1000,300,52.0132,59.4537,1.143050226,1,0.432316,432316,,1.485965293,,
1000,350,55.8969,66.5945,1.191380917,1,0.498143,498143,,1.548795193,,
1000,400,59.7129,75.8376,1.270037128,1,0.568671,568671,,1.651048266,,
1000,450,63.1596,74.7075,1.182836813,1,0.639305,639305,,1.537687857,,
1000,500,66.372,79.0185,1.190539685,1,0.706501,706501,,1.547701591,,
1000,550,69.5021,86.4415,1.24372501,1,0.796875,796875,,1.616842513,,
1000,600,72.388,87.0904,1.203105487,1,0.857861,857861,,1.564037133,,
1000,650,75.2934,90.6726,1.204256947,1,0.913687,913687,,1.565534031,,
1000,700,77.9918,99.4752,1.275457163,1,0.98797,987970,,1.658094312,,
1000,750,80.667,103.577,1.284007091,1,1.0559,1.06E+06,,1.669209218,,
1000,800,83.2127,100.629,1.209298581,1,1.12869,1.13E+06,,1.572088155,,
1000,850,85.8352,106.868,1.245037001,1,1.19291,1.19E+06,,1.618548101,,
1000,900,88.0697,110.832,1.25845779,1,1.27685,1.28E+06,,1.635995127,,
1000,950,90.4685,111.557,1.233103235,1,1.3682,1.37E+06,,1.603034205,,1.469966
1000,1000,92.8612,113.54,1.22268504,1,1.40434,1.40E+06,,1.589490551,,1.80836141
