n,d,MSB,Approx(0.1),Results(0.1),u,time(s),time(us),,,,
200,550,68.5501,81.3175,1.186249181,1,0.251864,251864,,1.542123936,,
200,600,71.4571,91.3225,1.278004565,1,0.282409,282409,,1.661405934,,
200,650,74.3713,90.1619,1.212321151,1,0.297569,297569,,1.576017496,,
200,700,77.2311,93.2408,1.207296025,1,0.320659,320659,,1.569484832,,
200,750,79.8089,99.6664,1.248813102,1,0.341699,341699,,1.623457033,,
200,800,82.4507,99.8776,1.211361456,1,0.364982,364982,,1.574769893,,
200,850,84.908,106.868,1.258632873,1,0.390524,390524,,1.636222735,,
200,900,87.2649,106.91,1.225120295,1,0.414211,414211,,1.592656383,,
200,950,89.5986,113.343,1.265008605,1,0.430287,430287,,1.644511187,,
200,1000,91.7531,114.835,1.251565342,1,0.480207,480207,,1.627034945,,
250,50,22.2393,30.1765,1.356899723,3,0.0463801,46380.1,,1.763969639,,
250,100,30.3053,38.662,1.275750446,2,0.0707681,70768.1,,1.65847558,,
250,150,36.7657,44.2511,1.203597375,1,0.0826251,82625.1,,1.564676587,,
250,200,42.1322,47.8912,1.136688803,1,0.113463,113463,,1.477695444,,
250,250,46.9309,56.491,1.203705874,1,0.132012,132012,,1.564817636,,
250,300,51.1754,60.4536,1.181301954,1,0.158328,158328,,1.53569254,,
250,350,55.0957,69.2426,1.256769585,1,0.191336,191336,,1.63380046,,
250,400,58.787,71.6858,1.219415857,1,0.206713,206713,,1.585240614,,
250,450,62.3779,74.7075,1.197659748,1,0.232571,232571,,1.556957673,,
250,500,65.6082,81.7894,1.246633805,1,0.259622,259622,,1.620623946,,
250,550,68.9041,84.1139,1.220738679,1,0.285409,285409,,1.586960282,,
250,600,71.7611,89.1634,1.24250325,1,0.309974,309974,,1.615254225,,
250,650,74.6239,91.358,1.224245852,1,0.349163,349163,,1.591519607,,
250,700,77.3501,94.9627,1.22769977,1,0.363937,363937,,1.596009701,,
250,750,79.9303,99.6664,1.246916376,1,0.385785,385785,,1.620991289,,
250,800,82.5576,99.8776,1.20979292,1,0.412684,412684,,1.572730796,,
250,850,85.0194,106.868,1.2569837,1,0.437257,437257,,1.63407881,,
250,900,87.326,106.91,1.224263106,1,0.464664,464664,,1.591542038,,
250,950,89.6854,113.343,1.263784295,1,0.489599,489599,,1.642919583,,
250,1000,91.9216,114.835,1.249271118,1,0.512492,512492,,1.624052453,,
300,50,22.2959,29.5114,1.323624523,3,0.0489922,48992.2,,1.72071188,,
300,100,30.3984,38.662,1.271843255,2,0.0763198,76319.8,,1.653396231,,
300,150,36.8441,44.2511,1.201036258,1,0.0947231,94723.1,,1.561347136,,
300,200,42.278,56.4981,1.336347509,2,0.145691,145691,,1.737251762,,
300,250,47.0073,54.6392,1.162355634,1,0.147818,147818,,1.511062324,,
300,300,51.3102,59.4537,1.158711133,1,0.175196,175196,,1.506324473,,
300,350,55.2364,64.8502,1.174048273,1,0.204608,204608,,1.526262754,,
300,400,58.9472,73.251,1.242654443,1,0.242841,242841,,1.615450776,,
300,450,62.6027,74.7075,1.193359072,1,0.260916,260916,,1.551366794,,
300,500,65.9123,80.0979,1.215219314,1,0.289572,289572,,1.579785108,,
300,550,69.1248,84.1139,1.216841134,1,0.319928,319928,,1.581893474,,
300,600,71.8602,89.1634,1.240789756,1,0.347475,347475,,1.613026682,,
300,650,74.7284,91.358,1.222533869,1,0.389269,389269,,1.58929403,,
300,700,77.4514,94.9627,1.226094041,1,0.402576,402576,,1.593922253,,
300,750,80.0144,99.6664,1.245605791,1,0.451501,451501,,1.619287528,,
300,800,82.6704,99.8776,1.208142213,1,0.470441,470441,,1.570584877,,
300,850,85.0996,106.868,1.255799087,1,0.502081,502081,,1.632538813,,
300,900,87.4303,106.91,1.222802621,1,0.526845,526845,,1.589643407,,
300,950,89.7562,112.788,1.256604001,1,0.544071,544071,,1.633585201,,
300,1000,92.0096,114.099,1.240077122,1,0.575164,575164,,1.612100259,,
350,50,22.4101,29.5114,1.316879443,3,0.0548873,54887.3,,1.711943276,,
350,100,30.4639,38.662,1.269108683,2,0.08259,82590,,1.649841288,,
350,150,36.864,44.2511,1.200387912,1,0.100971,100971,,1.560504286,,
350,200,42.3767,56.7699,1.339648911,2,0.158764,158764,,1.741543584,,
350,250,47.1217,64.2352,1.363176626,2,0.194958,194958,,1.772129613,,
350,300,51.4069,59.4537,1.156531516,1,0.195953,195953,,1.503490971,,
350,350,55.4157,64.8502,1.170249586,1,0.224434,224434,,1.521324462,,
350,400,59.2229,74.7996,1.263018191,1,0.255826,255826,,1.641923648,,
350,450,62.638,74.7075,1.192686548,1,0.292857,292857,,1.550492513,,
350,500,66.0072,80.0979,1.213472167,1,0.320002,320002,,1.577513817,,
350,550,69.1936,84.1139,1.215631214,1,0.350504,350504,,1.580320579,,
350,600,71.8963,89.1634,1.24016674,1,0.379964,379964,,1.612216762,,
350,650,74.7951,91.358,1.221443651,1,0.415168,415168,,1.587876746,,
350,700,77.5318,96.5113,1.244796329,1,0.446979,446979,,1.618235227,,
350,750,80.0973,99.6664,1.2443166,1,0.478477,478477,,1.61761158,,
350,800,82.7513,107.695,1.301429706,1,0.51187,511870,,1.691858617,,
350,850,85.1911,102.804,1.206745775,1,0.561802,561802,,1.568769508,,
