1000 , 100 , 46.2271 , 10 , 7.4686 , 7.4686e+006
1000 , 10 , 18.0784 , 21 , 4.08858 , 4.08858e+006
1000 , 20 , 23.9861 , 14 , 3.20682 , 3.20682e+006
1000 , 30 , 30.6257 , 8 , 2.6314 , 2.6314e+006
1000 , 40 , 32.0301 , 14 , 5.95877 , 5.95877e+006
1000 , 50 , 34.0211 , 10 , 6.01467 , 6.01467e+006
1000 , 60 , 37.4313 , 11 , 8.03703 , 8.03703e+006
1000 , 70 , 42.0425 , 8 , 6.00641 , 6.00641e+006
1000 , 80 , 40.8764 , 10 , 6.93523 , 6.93523e+006
1000 , 90 , 42.123 , 5 , 3.34076 , 3.34076e+006
100 , 100 , 45.9334 , 5 , 3.45069 , 3.45069e+006
100 , 10 , 18.3965 , 6 , 0.774609 , 774609
100 , 20 , 20.65 , 4 , 0.785028 , 785028
100 , 30 , 27.2864 , 6 , 1.58853 , 1.58853e+006
100 , 40 , 29.0208 , 6 , 1.85961 , 1.85961e+006
100 , 50 , 33.7356 , 5 , 2.17664 , 2.17664e+006
100 , 60 , 38.0208 , 7 , 3.90411 , 3.90411e+006
100 , 70 , 37.3796 , 5 , 3.17647 , 3.17647e+006
100 , 80 , 38.4381 , 6 , 4.20895 , 4.20895e+006
100 , 90 , 46.4775 , 4 , 3.08916 , 3.08916e+006
150 , 100 , 44.0968 , 4 , 2.69155 , 2.69155e+006
150 , 10 , 15.5479 , 15 , 1.95815 , 1.95815e+006
150 , 20 , 21.767 , 12 , 3.19005 , 3.19005e+006
150 , 30 , 25.6233 , 7 , 2.01648 , 2.01648e+006
150 , 40 , 31.0023 , 7 , 2.33238 , 2.33238e+006
150 , 50 , 32.7466 , 6 , 2.81904 , 2.81904e+006
150 , 60 , 36.8324 , 5 , 3.03637 , 3.03637e+006
150 , 70 , 38.3248 , 3 , 2.02879 , 2.02879e+006
150 , 80 , 39.0991 , 7 , 5.02873 , 5.02873e+006
150 , 90 , 44.1516 , 6 , 4.99165 , 4.99165e+006
200 , 100 , 45.9123 , 5 , 3.69512 , 3.69512e+006
200 , 10 , 16.3067 , 6 , 0.746845 , 746845
200 , 20 , 23.1867 , 10 , 2.08458 , 2.08458e+006
200 , 30 , 26.6227 , 8 , 2.51934 , 2.51934e+006
