100 , 200 , 515 , 144 , jugaad , 1.27961
100 , 402 , 295 , 172 , jugaad , 1.58305
100 , 806 , 200 , 81 , jugaad , 1.405
100 , 1614 , 129 , 31 , jugaad , 1.24031
100 , 3230 , 103 , 23 , jugaad , 1.2233
200 , 400 , 1154 , 333 , jugaad , 1.28856
200 , 802 , 577 , 313 , jugaad , 1.54246
200 , 1606 , 389 , 88 , jugaad , 1.22622
200 , 3214 , 269 , 116 , jugaad , 1.43123
200 , 6430 , 213 , 49 , jugaad , 1.23005
200 , 12862 , 200 , 83 , jugaad , 1.415
300 , 600 , 1559 , 413 , jugaad , 1.26491
300 , 1202 , 1083 , 533 , jugaad , 1.49215
300 , 2406 , 604 , 332 , jugaad , 1.54967
300 , 4814 , 391 , 200 , jugaad , 1.51151
300 , 9630 , 311 , 81 , jugaad , 1.26045
300 , 19262 , 300 , 135 , jugaad , 1.45
