10 , 20 , 5
10 , 20 , 5
20 , 40 , 10
20 , 40 , 10
20 , 78 , 3
20 , 154 , 2
30 , 60 , 15
30 , 60 , 15
30 , 118 , 4
30 , 234 , 3
40 , 80 , 20
40 , 80 , 20
40 , 158 , 5
40 , 314 , 3
40 , 626 , 2
50 , 100 , 25
50 , 100 , 25
50 , 198 , 5
50 , 394 , 3
50 , 786 , 2
60 , 120 , 30
60 , 120 , 30
60 , 238 , 4
60 , 474 , 3
60 , 946 , 3
70 , 140 , 35
70 , 140 , 35
70 , 278 , 5
70 , 554 , 3
70 , 1106 , 2
70 , 2210 , 2
80 , 160 , 40
80 , 160 , 40
80 , 318 , 5
80 , 634 , 4
80 , 1266 , 3
80 , 2530 , 2
90 , 180 , 45
90 , 180 , 45
90 , 358 , 5
90 , 714 , 3
90 , 1426 , 3
90 , 2850 , 2
