10 , 20 , 207 , 306 , 1.47826
10 , 20 , 207 , 306 , 1
11 , 22 , 338 , 413 , 1.22189
11 , 46 , 267 , 1199 , 4.49064
11 , 34 , 302 , 806 , 2.5
12 , 24 , 493 , 590 , 1.19675
12 , 50 , 229 , 1071 , 4.67686
12 , 37 , 361 , 830 , 2.5
13 , 26 , 512 , 612 , 1.19531
13 , 54 , 288 , 1398 , 4.85417
13 , 40 , 400 , 1005 , 2.5
14 , 28 , 616 , 710 , 1.1526
14 , 58 , 410 , 1593 , 3.88537
14 , 43 , 513 , 1151 , 2
15 , 30 , 589 , 677 , 1.14941
15 , 62 , 393 , 1653 , 4.20611
15 , 46 , 491 , 1165 , 2.5
16 , 32 , 928 , 1025 , 1.10453
16 , 66 , 432 , 1515 , 3.50694
16 , 49 , 680 , 1270 , 2
17 , 34 , 881 , 981 , 1.11351
17 , 70 , 262 , 1442 , 5.50382
17 , 52 , 571 , 1211 , 3
18 , 36 , 681 , 778 , 1.14244
18 , 74 , 371 , 1660 , 4.47439
18 , 55 , 526 , 1219 , 2.5
19 , 38 , 929 , 1028 , 1.10657
19 , 78 , 528 , 2095 , 3.9678
19 , 58 , 728 , 1561 , 2
20 , 40 , 701 , 794 , 1.13267
20 , 82 , 566 , 2147 , 3.79329
20 , 166 , 229 , 4035 , 17.6201
20 , 96 , 498 , 2325 , 7
21 , 42 , 970 , 1068 , 1.10103
21 , 86 , 405 , 1957 , 4.8321
21 , 174 , 378 , 4768 , 12.6138
21 , 100 , 584 , 2597 , 5.66667
22 , 44 , 892 , 989 , 1.10874
22 , 90 , 435 , 2032 , 4.67126
22 , 182 , 299 , 4962 , 16.5953
22 , 105 , 542 , 2661 , 7
23 , 46 , 1003 , 1103 , 1.0997
23 , 94 , 479 , 2290 , 4.78079
23 , 190 , 429 , 4954 , 11.5478
23 , 110 , 637 , 2782 , 5.33333
24 , 48 , 979 , 1072 , 1.09499
24 , 98 , 590 , 2241 , 3.79831
24 , 198 , 368 , 5202 , 14.1359
24 , 114 , 645 , 2838 , 6
