100 , 200 , 515 , 144 , jugaad , 1.27961
100 , 302 , 411 , 137 , jugaad , 1.33333
100 , 404 , 314 , 159 , jugaad , 1.50637
100 , 506 , 271 , 225 , jugaad , 1.83026
100 , 608 , 238 , 130 , jugaad , 1.54622
100 , 710 , 177 , 115 , jugaad , 1.64972
100 , 812 , 187 , 58 , jugaad , 1.31016
100 , 914 , 160 , 62 , jugaad , 1.3875
100 , 1016 , 186 , 63 , jugaad , 1.33871
100 , 1118 , 158 , 57 , jugaad , 1.36076
100 , 1220 , 146 , 90 , jugaad , 1.61644
100 , 1322 , 135 , 30 , jugaad , 1.22222
100 , 1424 , 147 , 68 , jugaad , 1.46259
100 , 1526 , 142 , 29 , jugaad , 1.20423
100 , 1628 , 132 , 70 , jugaad , 1.5303
100 , 1730 , 118 , 24 , jugaad , 1.20339
100 , 1832 , 126 , 76 , jugaad , 1.60317
100 , 1934 , 125 , 53 , jugaad , 1.424
100 , 2036 , 111 , 33 , jugaad , 1.2973
100 , 2138 , 107 , 12 , jugaad , 1.11215
100 , 2240 , 117 , 74 , jugaad , 1.63248
100 , 2342 , 106 , 64 , jugaad , 1.60377
100 , 2444 , 117 , 84 , jugaad , 1.71795
100 , 2546 , 108 , 12 , jugaad , 1.11111
100 , 2648 , 107 , 21 , jugaad , 1.19626
100 , 2750 , 106 , 26 , jugaad , 1.24528
100 , 2852 , 104 , 29 , jugaad , 1.27885
100 , 2954 , 101 , 54 , jugaad , 1.53465
100 , 3056 , 101 , 45 , jugaad , 1.44554
100 , 3158 , 105 , 31 , jugaad , 1.29524
100 , 3260 , 100 , 60 , jugaad , 1.6
100 , 3362 , 99 , 21 , jugaad , 1.21212
100 , 3464 , 105 , 38 , jugaad , 1.3619
100 , 3566 , 101 , 35 , jugaad , 1.34653
100 , 3668 , 101 , 10 , jugaad , 1.09901
100 , 3770 , 99 , 10 , jugaad , 1.10101
100 , 3872 , 100 , 50 , jugaad , 1.5
100 , 3974 , 100 , 24 , jugaad , 1.24
100 , 4076 , 102 , 53 , jugaad , 1.51961
100 , 4178 , 103 , 6 , jugaad , 1.05825
100 , 4280 , 100 , 15 , jugaad , 1.15
100 , 4382 , 101 , 18 , jugaad , 1.17822
100 , 4484 , 101 , 29 , jugaad , 1.28713
100 , 4586 , 99 , 8 , jugaad , 1.08081
100 , 4688 , 100 , 13 , jugaad , 1.13
100 , 4790 , 101 , 65 , jugaad , 1.64356
