100,1.37814,1.42986,1.36905,1.34952,1.35154,1.39052,1.43852,1.39011,1.45149,1.3171,1.43852,1.42106,1.41642,1.33897,1.33785,1.36366,1.40424,1.37019,1.38855,1.33915,1.466
200,1.42122,1.35976,1.42048,1.36357,1.41642,1.43026,1.39769,1.3415,1.35401,1.3553,1.3698,1.37629,1.45292,1.38771,1.36346,1.35671,1.36918,1.34956,1.40704,1.35644,1.466
300,1.38227,1.45967,1.33811,1.41295,1.3828,1.3531,1.37754,1.37999,1.41694,1.39769,1.39707,1.40392,1.37363,1.41295,1.32383,1.35663,1.36072,1.34649,1.42122,1.355,1.466
400,1.35535,1.32842,1.36295,1.43791,1.37861,1.36905,1.42195,1.36691,1.4101,1.34101,1.39556,1.3948,1.35869,1.31296,1.41729,1.40424,1.35533,1.41877,1.43669,1.45249,1.466
500,1.36918,1.35908,1.39806,1.35745,1.36196,1.39049,1.36357,1.39145,1.36449,1.34869,1.38716,1.34956,1.38039,1.41372,1.38364,1.35745,1.429,1.41082,1.34869,1.33597,1.466
600,1.36196,1.39001,1.37084,1.32383,1.41907,1.33227,1.37448,1.39672,1.35671,1.37348,1.4259,1.45552,1.39091,1.38574,1.33379,1.38707,1.43422,1.437,1.34834,1.35396,1.466
700,1.38039,1.36652,1.33884,1.3478,1.4149,1.39707,1.4158,1.42295,1.3553,1.4214,1.4204,1.39592,1.39437,1.33915,1.39373,1.429,1.36196,1.31986,1.39032,1.40198,1.466
800,1.34649,1.37254,1.43586,1.37448,1.35745,1.39091,1.35671,1.39574,1.43669,1.44123,1.31296,1.41694,1.35703,1.39278,1.33786,1.37332,1.38574,1.40587,1.39029,1.37442,1.466
900,1.35023,1.33379,1.31986,1.41694,1.38707,1.37861,1.36401,1.37626,1.43498,1.41103,1.45292,1.38691,1.39049,1.39864,1.36652,1.3828,1.39484,1.36072,1.4149,1.3948,1.466
1000,1.39435,1.42048,1.39164,1.39145,1.40196,1.38535,1.36055,1.40417,1.3478,1.45233,1.33597,1.40599,1.33775,1.3939,1.39266,1.34119,1.32894,1.33915,1.35533,1.34287,1.466
1100,1.39232,1.34287,1.41961,1.35629,1.37363,1.38691,1.39707,1.41877,1.40535,1.40587,1.3359,1.429,1.40116,1.42972,1.34973,1.35401,1.39437,1.34956,1.3777,1.40363,1.466
1200,1.3707,1.42292,1.40704,1.36366,1.33982,1.38585,1.43784,1.34956,1.41202,1.43352,1.38574,1.40003,1.4101,1.34834,1.35023,1.4563,1.45165,1.3707,1.401,1.38771,1.466
1300,1.44123,1.45196,1.37898,1.45857,1.38771,1.41052,1.38039,1.34834,1.39864,1.39437,1.41338,1.4214,1.45967,1.36401,1.41319,1.33687,1.38711,1.35023,1.39435,1.3401,1.466
1400,1.45552,1.31325,1.40152,1.43072,1.38614,1.41546,1.34973,1.39032,1.35671,1.42531,1.40198,1.3553,1.34119,1.34952,1.437,1.35976,1.41642,1.34119,1.43784,1.40084,1.466
1500,1.43072,1.4204,1.39116,1.37819,1.38403,1.40429,1.43498,1.41642,1.39556,1.38693,1.40116,1.38551,1.3948,1.34834,1.35401,1.38534,1.34835,1.34414,1.37629,1.45967,1.466
