50,80,38.4381,3,3,2.37675,2.38E+06
150,70,38.3248,3,3,2.02879,2.03E+06
200,70,39.9311,3,4,1.76768,1.77E+06
250,60,35.3727,3,4,2.00844,2.01E+06
450,60,34.5848,3,4,1.61801,1.62E+06
50,40,29.0208,4,6,1.31301,1.31E+06
50,90,39.822,4,6,3.32196,3.32E+06
100,20,20.65,4,6,0.785028,785028
100,90,46.4775,4,6,3.08916,3.09E+06
150,100,44.0968,4,6,2.69155,2.69E+06
200,60,35.3043,4,6,2.07692,2.08E+06
250,100,45.6165,4,6,2.83588,2.84E+06
300,100,44.1953,4,6,3.02691,3.03E+06
350,70,37.276,4,6,2.64072,2.64E+06
350,80,41.7888,4,6,2.75065,2.75E+06
350,100,45.9544,4,6,3.05521,3.06E+06
400,80,41.9965,4,6,3.08686,3.09E+06
400,100,45.4147,4,6,3.0632,3.06E+06
450,70,40.3526,4,6,2.44256,2.44E+06
500,70,39.7491,4,6,2.28447,2.28E+06
600,100,45.1692,4,6,3.04235,3.04E+06
650,80,40.6986,4,6,2.85808,2.86E+06
50,60,35.8479,5,16,3.02455,3.02E+06
50,100,44.5223,5,16,3.50278,3.50E+06
100,50,33.7356,5,16,2.17664,2.18E+06
100,70,37.3796,5,16,3.17647,3.18E+06
100,100,45.9334,5,16,3.45069,3.45E+06
150,60,36.8324,5,16,3.03637,3.04E+06
200,90,43.954,5,16,3.65157,3.65E+06
200,100,45.9123,5,16,3.69512,3.70E+06
300,60,34.6267,5,16,2.95918,2.96E+06
350,60,36.8324,5,16,3.07262,3.07E+06
450,100,46.3003,5,16,3.58496,3.58E+06
500,100,46.415,5,,3.97469,3.97E+06
550,20,24.2267,5,,1.03695,1.04E+06
550,100,45.4147,5,,3.80011,3.80E+06
600,70,39.1362,5,,2.83056,2.83E+06
650,50,34.2618,5,,2.46894,2.47E+06
700,60,35.8209,5,8,2.89615,2.90E+06
700,70,38.3878,5,8,3.68229,3.68E+06
700,80,43.921,5,8,3.61635,3.62E+06
700,100,46.5814,5,8,3.66588,3.67E+06
750,30,28.7362,5,8,1.32969,1.33E+06
750,60,36.7404,5,8,2.82526,2.83E+06
850,50,35.112,5,8,2.04279,2.04E+06
850,90,41.5916,5,8,3.61875,3.62E+06
950,30,28.2954,5,8,1.51114,1.51E+06
950,50,35.112,5,8,2.29423,2.29E+06
1000,90,42.123,5,8,3.34076,3.34E+06
