1,2,3,4,5
880,5966.33,0,774400,681472000
881,5974.11,0,776161,683797841
882,5981.89,0,777924,686128968
883,5989.68,0,779689,688465387
884,5997.46,0,781456,690807104
885,6005.25,0,783225,693154125
886,6013.03,0,784996,695506456
887,6020.82,0,786769,697864103
888,6028.61,0,788544,700227072
889,6036.4,0,790321,702595369
890,6044.19,0,792100,704969000
891,6051.98,0,793881,707347971
892,6059.77,0,795664,709732288
893,6067.57,0,797449,712121957
894,6075.36,0,799236,714516984
895,6083.16,0,801025,716917375
896,6090.95,0,802816,719323136
897,6098.75,0,804609,721734273
898,6106.55,0,806404,724150792
899,6114.35,0,808201,726572699
900,6122.16,0,810000,729000000
901,6129.96,0,811801,731432701
902,6137.76,0,813604,733870808
903,6145.57,0,815409,736314327
904,6153.37,0,817216,738763264
905,6161.18,0,819025,741217625
906,6168.99,0,820836,743677416
907,6176.8,0,822649,746142643
908,6184.61,0,824464,748613312
909,6192.42,0,826281,751089429
910,6200.23,0,828100,753571000
911,6208.05,0,829921,756058031
912,6215.86,0,831744,758550528
913,6223.68,0,833569,761048497
914,6231.5,0,835396,763551944
915,6239.32,0,837225,766060875
916,6247.13,0,839056,768575296
917,6254.96,0,840889,771095213
918,6262.78,0,842724,773620632
919,6270.6,0,844561,776151559
920,6278.42,0,846400,778688000
921,6286.25,0,848241,781229961
922,6294.07,0,850084,783777448
923,6301.9,0,851929,786330467
924,6309.73,0,853776,788889024
925,6317.56,0,855625,791453125
926,6325.39,0,857476,794022776
927,6333.22,0,859329,796597983
928,6341.05,0,861184,799178752
929,6348.89,0,863041,801765089
930,6356.72,0,864900,804357000
931,6364.56,0,866761,806954491
932,6372.39,0,868624,809557568
933,6380.23,0,870489,812166237
934,6388.07,0,872356,814780504
935,6395.91,0,874225,817400375
936,6403.75,0,876096,820025856
937,6411.59,0,877969,822656953
938,6419.44,0,879844,825293672
939,6427.28,0,881721,827936019
940,6435.13,0,883600,830584000
941,6442.97,0,885481,833237621
942,6450.82,0,887364,835896888
943,6458.67,0,889249,838561807
944,6466.52,0,891136,841232384
945,6474.37,0,893025,843908625
946,6482.22,0,894916,846590536
947,6490.07,0,896809,849278123
948,6497.93,0,898704,851971392
949,6505.78,0,900601,854670349
950,6513.64,0,902500,857375000
951,6521.5,0,904401,860085351
952,6529.35,0,906304,862801408
953,6537.21,0,908209,865523177
954,6545.07,0,910116,868250664
955,6552.93,0,912025,870983875
956,6560.8,0,913936,873722816
957,6568.66,0,915849,876467493
958,6576.52,0,917764,879217912
959,6584.39,0,919681,881974079
960,6592.26,0,921600,884736000
961,6600.12,0,923521,887503681
962,6607.99,0,925444,890277128
963,6615.86,0,927369,893056347
964,6623.73,0,929296,895841344
965,6631.6,0,931225,898632125
966,6639.48,0,933156,901428696
967,6647.35,0,935089,904231063
968,6655.22,0,937024,907039232
969,6663.1,0,938961,909853209
970,6670.98,0,940900,912673000
971,6678.86,0,942841,915498611
972,6686.73,0,944784,918330048
973,6694.61,0,946729,921167317
974,6702.49,0,948676,924010424
975,6710.38,0,950625,926859375
976,6718.26,0,952576,929714176
977,6726.14,0,954529,932574833
978,6734.03,0,956484,935441352
979,6741.91,0,958441,938313739
980,6749.8,0,960400,941192000
981,6757.69,0,962361,944076141
982,6765.58,0,964324,946966168
983,6773.47,0,966289,949862087
984,6781.36,0,968256,952763904
985,6789.25,0,970225,955671625
986,6797.15,0,972196,958585256
987,6805.04,0,974169,961504803
988,6812.93,0,976144,964430272
989,6820.83,0,978121,967361669
990,6828.73,0,980100,970299000
991,6836.63,0,982081,973242271
992,6844.53,0,984064,976191488
993,6852.43,0,986049,979146657
994,6860.33,0,988036,982107784
995,6868.23,0,990025,985074875
996,6876.13,0,992016,988047936
997,6884.04,0,994009,991026973
998,6891.94,0,996004,994011992
999,6899.85,0,998001,997002999
1000,6907.76,0,1000000,1000000000
