n , d , MSB , Approx(0.1) , Results(0.1) , u , time(s) , time(us)
250,900,87.326,122.344,1.401003138,2,3.64562,3.65E+06
250,950,89.6854,121.727,1.357266623,1,2.53034,2.53E+06
250,1000,91.9216,123.329,1.34167595,1,2.66349,2.66E+06
300,50,22.2959,34.5575,1.549948645,5,0.508746,508746
300,100,30.3984,43.3494,1.42604216,3,0.589301,589301
300,150,36.8441,54.7428,1.485795555,4,1.16913,1.17E+06
300,200,42.278,62.8408,1.486371162,4,1.58027,1.58E+06
300,250,47.0073,68.9865,1.467569931,3,1.37348,1.37E+06
300,300,51.3102,70.0617,1.365453652,2,1.23216,1.23E+06
300,350,55.2364,79.8306,1.445253492,3,2.03659,2.04E+06
300,400,58.9472,78.6692,1.334570599,1,1.12918,1.13E+06
300,450,62.6027,91.4306,1.460489723,3,2.78818,2.79E+06
300,500,65.9123,91.8996,1.394270872,2,2.0204,2.02E+06
300,550,69.1248,97.6574,1.412769368,2,2.30967,2.31E+06
300,600,71.8602,102.74,1.429720485,2,2.45865,2.46E+06
300,650,74.7284,98.1156,1.312962676,1,1.77322,1.77E+06
300,700,77.4514,110.056,1.420968504,2,2.80688,2.81E+06
300,750,80.0144,107.039,1.337746706,1,2.05005,2.05E+06
300,800,82.6704,115.273,1.39436848,2,3.21037,3.21E+06
300,850,85.0996,114.773,1.348690241,1,2.29285,2.29E+06
300,900,87.4303,114.818,1.313251813,1,2.44705,2.45E+06
300,950,89.7562,121.131,1.349555797,1,2.5876,2.59E+06
300,1000,92.0096,122.538,1.331795813,1,2.69639,2.70E+06
350,50,22.4101,33.6811,1.50294287,4,0.41387,413870
350,100,30.4639,40.4848,1.328943438,4,0.776675,776675
350,150,36.864,54.7428,1.48499349,3,0.853178,853178
350,200,42.3767,58.5692,1.382108564,3,1.11364,1.11E+06
350,250,47.1217,68.9865,1.464007029,3,1.38815,1.39E+06
350,300,51.4069,69.1353,1.344864211,2,1.31284,1.31E+06
350,350,55.4157,75.1829,1.356707576,2,1.46343,1.46E+06
350,400,59.2229,80.3324,1.356441512,1,1.1255,1.13E+06
350,450,62.638,91.4306,1.459666656,3,2.50831,2.51E+06
350,500,66.0072,93.3072,1.413591245,2,2.11077,2.11E+06
350,550,69.1936,96.5991,1.396069868,2,2.41563,2.42E+06
350,600,71.8963,102.74,1.429002605,2,2.67388,2.67E+06
350,650,74.7951,107.348,1.435227709,2,2.67085,2.67E+06
350,700,77.5318,103.65,1.336870807,1,1.97594,1.98E+06
350,750,80.0973,107.039,1.33636215,1,2.09659,2.10E+06
350,800,82.7513,115.661,1.397694054,1,2.22682,2.23E+06
350,850,85.1911,118.641,1.392645476,2,3.4476,3.45E+06
350,900,87.4759,119.03,1.360717638,1,2.54235,2.54E+06
350,950,89.8371,121.131,1.348340496,1,2.67247,2.67E+06
350,1000,92.0849,121.539,1.319858087,1,2.84492,2.84E+06
400,50,22.4258,33.1498,1.478199217,5,0.543858,543858
400,100,30.6189,43.3494,1.415772611,4,0.782787,782787
400,150,37.1034,51.1513,1.378614898,2,0.701464,701464
400,200,42.4713,58.5692,1.379030074,2,0.977208,977208
400,250,47.2526,66.7771,1.413194195,3,1.4085,1.41E+06
400,300,51.5069,68.9662,1.338970119,2,1.31481,1.31E+06
400,350,55.6008,75.561,1.358991238,1,1.0269,1.03E+06
400,400,59.3035,80.3324,1.354597958,1,1.63794,1.64E+06
400,450,62.7491,85.5269,1.362998035,2,1.97494,1.97E+06
400,500,66.0457,91.8996,1.391454705,2,2.2288,2.23E+06
400,550,69.2045,97.6574,1.411142339,2,2.38611,2.39E+06
400,600,71.9835,102.74,1.427271528,2,2.60148,2.60E+06
400,650,74.8353,107.348,1.434456734,2,2.69727,2.70E+06
400,700,77.624,106.833,1.376288261,1,2.05952,2.06E+06
400,750,80.1556,111.356,1.389247913,1,2.15854,2.16E+06
400,800,82.8092,115.661,1.39671679,1,2.37902,2.38E+06
400,850,85.2972,117.743,1.380385288,2,3.50735,3.51E+06
400,900,87.5375,119.03,1.359760103,1,2.58085,2.58E+06
400,950,89.8733,121.131,1.347797399,1,2.6939,2.69E+06
400,1000,92.1782,130.475,1.415464828,2,4.20265,4.20E+06
450,50,22.5785,33.6811,1.491733286,4,0.454086,454086
450,100,30.6797,44.6241,1.454515527,4,0.831607,831607
450,150,37.2151,51.1513,1.374477027,2,0.722198,722198
450,200,42.5602,59.7617,1.404168683,3,1.24516,1.25E+06
450,250,47.2972,68.9865,1.458574715,3,1.52707,1.53E+06
450,300,51.7107,68.4562,1.323830464,2,1.29748,1.30E+06
450,350,55.6285,75.561,1.358314533,1,1.09237,1.09E+06
450,400,59.4016,85.6033,1.441094179,2,1.7571,1.76E+06
450,450,62.7829,91.4306,1.456297814,3,2.66032,2.66E+06
450,500,66.0805,93.3072,1.412023214,2,2.21891,2.22E+06
450,550,69.2558,97.6574,1.41009706,2,2.37208,2.37E+06
450,600,72.0398,102.325,1.420395393,2,2.61712,2.62E+06
450,650,74.9102,107.348,1.433022472,2,2.79814,2.80E+06
450,700,77.6639,106.833,1.37558119,1,2.08724,2.09E+06
450,750,80.211,111.356,1.388288389,1,2.20899,2.21E+06
450,800,82.8442,115.661,1.396126705,1,2.36033,2.36E+06
450,850,85.3336,118.641,1.390319874,2,3.84611,3.85E+06
450,900,87.581,119.03,1.359084733,1,2.66047,2.66E+06
450,950,89.9291,121.131,1.346961106,1,2.77914,2.78E+06
450,1000,92.2649,130.289,1.412118801,2,4.24418,4.24E+06
500,50,22.6027,33.57,1.485220792,7,0.855511,855511
500,100,30.7051,42.5663,1.386294134,2,0.493516,493516
500,150,37.3118,51.7506,1.386976774,4,1.12382,1.12E+06
500,200,42.602,60.2832,1.415032158,4,1.6379,1.64E+06
500,250,47.3964,68.9865,1.455521938,3,1.48307,1.48E+06
500,300,51.7746,73.7207,1.423877732,3,1.86504,1.87E+06
500,350,55.6942,75.561,1.356712189,1,1.11486,1.11E+06
500,400,59.4312,80.3324,1.351687329,1,1.35966,1.36E+06
500,450,62.8622,85.5269,1.360545765,2,2.65746,2.66E+06
500,500,66.1011,91.8996,1.390288513,2,2.22367,2.22E+06
500,550,69.322,96.5991,1.393484031,2,2.50515,2.51E+06
500,600,72.0765,100.427,1.393339022,2,2.75947,2.76E+06
500,650,74.9365,106.645,1.423138257,2,2.82584,2.83E+06
500,700,77.7074,106.833,1.374811151,1,2.1462,2.15E+06
500,750,80.2838,111.356,1.387029513,1,2.30726,2.31E+06
500,800,82.8521,108.934,1.314800711,1,2.42057,2.42E+06
500,850,85.3691,117.743,1.379222693,2,3.62463,3.62E+06
500,900,87.6862,119.03,1.357454195,1,2.73025,2.73E+06
500,950,90.0548,128.141,1.422922487,2,4.05882,4.06E+06
500,1000,92.3063,129.879,1.407043723,2,4.31532,4.32E+06
550,50,22.6526,33.6811,1.486853606,5,0.568044,568044
550,100,30.7641,42.5663,1.383635471,2,0.488243,488243
