200,500,65.4188,96.9319,1.481713208,1.411155436,3,,11.9266,1.19E+07
200,550,68.5501,96.5671,1.408708375,1.341627024,3,,12.4723,1.25E+07
200,600,71.4571,104.752,1.465942503,1.396135717,2,,10.317,1.03E+07
200,650,74.3713,105.712,1.421408527,1.353722407,3,,15.307,1.53E+07
200,700,77.2311,107.669,1.394114547,1.32772814,2,,11.6949,1.17E+07
200,750,79.8089,118.012,1.478682202,1.408268764,3,,17.2298,1.72E+07
200,800,82.4507,114.134,1.38426963,1.318352029,2,,11.9763,1.20E+07
200,850,84.908,120.838,1.423163895,1.355394186,2,,14.2807,1.43E+07
200,900,87.2649,121.552,1.39290826,1.326579295,2,,13.5812,1.36E+07
200,950,89.5986,127.958,1.428124993,1.360119041,2,,14.8367,1.48E+07
200,1000,91.7531,130.613,1.423526835,1.355739842,2,9,16.0525,1.61E+07
250,50,22.2393,34.092,1.532961919,1.459963732,9,,3.81807,3.82E+06
250,100,30.3053,45.6165,1.505231758,1.433554055,4,,2.70827,2.71E+06
250,150,36.7657,53.3271,1.4504579,1.381388476,3,,3.09141,3.09E+06
250,200,42.1322,60.5369,1.436832162,1.368411582,3,,4.12323,4.12E+06
250,250,46.9309,66.2127,1.410855108,1.343671532,4,,6.9873,6.99E+06
250,300,51.1754,77.002,1.504668259,1.433017389,4,,7.78477,7.78E+06
250,350,55.0957,78.6359,1.427260204,1.359295432,2,,5.45737,5.46E+06
250,400,58.787,87.0625,1.48098219,1.410459229,3,,10.5721,1.06E+07
250,450,62.3779,88.4344,1.417720058,1.350209579,3,,9.41641,9.42E+06
250,500,65.6082,96.9319,1.477435747,1.407081664,3,,11.9034,1.19E+07
250,550,68.9041,101.812,1.477589868,1.407228445,3,,12.4814,1.25E+07
250,600,71.7611,104.511,1.456373996,1.387022854,2,,9.60046,9.60E+06
250,650,74.6239,108.492,1.453850576,1.384619596,3,,15.943,1.59E+07
250,700,77.3501,107.188,1.385751279,1.319763123,2,,10.8106,1.08E+07
250,750,79.9303,112.925,1.412793396,1.34551752,2,,12.5138,1.25E+07
250,800,82.5576,114.134,1.382477204,1.316644956,2,,13.1665,1.32E+07
250,850,85.0194,120.838,1.421299139,1.353618227,2,,13.8197,1.38E+07
250,900,87.326,125.235,1.434108971,1.365818068,3,,20.0064,2.00E+07
250,950,89.6854,128.083,1.428136575,1.360130072,2,,15.1691,1.52E+07
250,1000,91.9216,130.613,1.42091739,1.353254658,2,9,15.9268,1.59E+07
300,50,22.2959,34.4448,1.544893904,1.471327528,11,,4.23991,4.24E+06
300,100,30.3984,44.1953,1.453869283,1.384637412,4,,2.80926,2.81E+06
300,150,36.8441,52.4127,1.422553407,1.354812769,3,,3.1521,3.15E+06
300,200,42.278,60.377,1.42809499,1.360090467,4,,5.2548,5.25E+06
300,250,47.0073,66.395,1.412440195,1.345181139,4,,6.30119,6.30E+06
300,300,51.3102,74.9917,1.461535913,1.391938965,4,,7.42809,7.43E+06
300,350,55.2364,77.4153,1.401526892,1.334787516,3,,7.3535,7.35E+06
300,400,58.9472,83.1426,1.410458851,1.343294144,2,,7.06905,7.07E+06
300,450,62.6027,88.3743,1.411669145,1.344446805,3,,9.59912,9.60E+06
300,500,65.9123,94.9159,1.440033196,1.371460186,3,,11.1035,1.11E+07
300,550,69.1248,99.341,1.437125315,1.368690777,3,,11.5983,1.16E+07
300,600,71.8602,101.76,1.416082894,1.348650376,2,,11.3007,1.13E+07
300,650,74.7284,110.177,1.474365837,1.40415794,3,,16.7333,1.67E+07
300,700,77.4514,111.953,1.445461283,1.376629793,3,,15.3767,1.54E+07
300,750,80.0144,112.603,1.407284189,1.340270656,2,,12.7749,1.28E+07
300,800,82.6704,116.777,1.412561207,1.345296388,2,,13.8059,1.38E+07
300,850,85.0996,120.802,1.419536637,1.351939654,2,,15.105,1.51E+07
300,900,87.4303,125.235,1.43239815,1.364188715,3,,21.3842,2.14E+07
300,950,89.7562,127.39,1.419289141,1.351703944,2,,15.5283,1.55E+07
300,1000,92.0096,130.027,1.413189493,1.345894755,2,11,16.486,1.65E+07
350,50,22.4101,33.6783,1.502817926,1.431255167,11,,5.48381,5.48E+06
350,100,30.4639,45.9544,1.508487095,1.436654376,4,,2.90597,2.91E+06
350,150,36.864,55.9205,1.516940647,1.444705378,4,,4.28749,4.29E+06
350,200,42.3767,59.579,1.405937697,1.338988283,4,,5.46611,5.47E+06
350,250,47.1217,70.8068,1.502636789,1.431082657,7,,13.9818,1.40E+07
